75	176	63
497	-182	-71
260	204	59
571	-204	-69
319	195	55
651	-200	-67
290	202	61
675	-197	-73
72	183	68
498	-177	-77
393	188	60
673	-197	-62
663	178	70
779	-189	-71
776	168	67
901	-181	-68
754	186	70
908	-199	-68
390	204	62
680	-212	-60
393	197	60
673	-188	-62
663	189	70
779	-178	-71
776	181	67
901	-168	-68
754	199	70
908	-186	-68
390	212	62
680	-204	-60
75	176	71
497	-182	-63
260	204	69
571	-204	-59
319	195	67
651	-200	-55
290	202	73
675	-197	-61
72	183	77
498	-177	-68
63	81	58
484	-69	-40
248	128	58
559	-127	-36
307	119	57
639	-109	-31
278	112	61
662	-123	-36
60	69	62
486	-82	-44
381	117	42
660	-99	-38
651	115	60
766	-91	-59
763	111	55
889	-84	-52
742	121	55
896	-94	-58
378	126	38
668	-107	-43
381	99	42
660	-117	-38
651	91	60
766	-115	-59
763	84	55
889	-111	-52
742	94	55
896	-121	-58
378	107	38
668	-126	-43
63	81	40
484	-69	-58
248	128	36
559	-127	-58
307	119	31
639	-109	-57
278	112	36
662	-123	-61
60	69	44
486	-82	-62





